logged_at_utc,received_at_utc,mqtt_device_id,topic,boot_count,reset_reason,rssi_dbm,free_heap_bytes,min_free_heap_bytes,largest_free_block_bytes,fragmentation_pct,free_drop_pct,min_drop_pct,largest_drop_pct,alert
2026-09-08T22:38:13.744544+00:00,2026-09-08T22:38:09.624694+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-58,71124,56408,53236,25.15,0.0,0.0,0.0,OK
2026-09-08T22:39:13.729335+00:00,2026-09-08T22:39:10.117696+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-59,71400,56408,53236,25.44,-0.39,0.0,0.0,OK
2026-09-08T22:40:13.734421+00:00,2026-09-08T22:40:10.631924+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-63,71432,56408,53236,25.47,-0.43,0.0,0.0,OK
2026-09-08T22:41:13.729866+00:00,2026-09-08T22:41:11.051024+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-60,71124,56408,53236,25.15,0.0,0.0,0.0,OK
2026-09-08T22:42:13.722061+00:00,2026-09-08T22:42:11.567271+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-59,71432,56408,53236,25.47,-0.43,0.0,0.0,OK
2026-09-08T22:43:13.729371+00:00,2026-09-08T22:43:12.076477+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-60,71432,56408,53236,25.47,-0.43,0.0,0.0,OK
2026-09-08T22:44:13.730833+00:00,2026-09-08T22:44:12.607092+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-58,71112,56408,53236,25.14,0.02,0.0,0.0,OK
2026-09-08T22:45:13.733370+00:00,2026-09-08T22:45:13.124003+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-59,71432,56408,53236,25.47,-0.43,0.0,0.0,OK
2026-09-08T22:46:13.729003+00:00,2026-09-08T22:46:13.540716+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-62,71432,56408,53236,25.47,-0.43,0.0,0.0,OK
2026-09-08T22:47:13.734985+00:00,2026-09-08T22:47:01.980820+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-60,71432,56408,53236,25.47,-0.43,0.0,0.0,OK
2026-09-08T22:48:13.744198+00:00,2026-09-08T22:48:02.498217+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-59,71432,56408,53236,25.47,-0.43,0.0,0.0,OK
2026-09-08T22:49:13.740369+00:00,2026-09-08T22:49:02.927027+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-63,71112,56408,53236,25.14,0.02,0.0,0.0,OK
2026-09-08T22:50:13.739274+00:00,2026-09-08T22:50:03.441872+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-59,71432,56408,53236,25.47,-0.43,0.0,0.0,OK
2026-09-08T22:51:13.739871+00:00,2026-09-08T22:51:03.945798+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-58,71432,56408,53236,25.47,-0.43,0.0,0.0,OK
2026-09-08T22:52:13.741062+00:00,2026-09-08T22:52:04.468206+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-65,71112,56408,53236,25.14,0.02,0.0,0.0,OK
2026-09-08T22:53:13.738207+00:00,2026-09-08T22:53:04.986112+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-66,71432,56408,53236,25.47,-0.43,0.0,0.0,OK
2026-09-08T22:54:13.738941+00:00,2026-09-08T22:54:05.403690+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-61,71432,56408,53236,25.47,-0.43,0.0,0.0,OK
2026-09-08T22:55:13.745111+00:00,2026-09-08T22:55:05.920371+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-60,71124,56408,53236,25.15,0.0,0.0,0.0,OK
2026-09-08T22:56:13.748359+00:00,2026-09-08T22:56:06.420933+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-67,71432,56408,53236,25.47,-0.43,0.0,0.0,OK
2026-09-08T22:57:13.739686+00:00,2026-09-08T22:57:06.939624+00:00,atelier,smartmonitor/atelier/state,36,POWER_ON,-64,71432,56408,53236,25.47,-0.43,0.0,0.0,OK
